,name,match
137,Aalto University,Aalto University
118,Aarhus University,Aarhus University
19,Australian National University,Australian National University
80,Boston University,Boston University
52,Brown University,Brown University
3,California Institute of Technology (Caltech),California Institute of Technology
138,Cardiff University,Cardiff University
46,Carnegie Mellon University,Carnegie Mellon University
45,Chinese University of Hong Kong (CUHK),Chinese University of Hong Kong
48,City University of Hong Kong,City University of Hong Kong
17,Columbia University,Columbia University
13,Cornell University,Cornell University
168,Dartmouth College,Dartmouth College
53,Delft University of Technology,Delft University of Technology
20,Duke University,Duke University
78,Durham University,Durham University
9,ETH Zurich - Swiss Federal Institute of Technology,ETH Zurich – Swiss Federal Institute of Technology Zurich
103,Eindhoven University of Technology,Eindhoven University of Technology
146,Emory University,Emory University
147,Erasmus University Rotterdam,Erasmus University Rotterdam
124,Freie Universitaet Berlin,Free University of Berlin
39,Fudan University,Fudan University
69,Georgia Institute of Technology,Georgia Institute of Technology
125,Ghent University,Ghent University
2,Harvard University,Harvard University
95,Hong Kong Polytechnic University,Hong Kong Polytechnic University
29,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology
119,Humboldt-Universität zu Berlin,Humboldt University of Berlin
7,Imperial College London,Imperial College London
16,Johns Hopkins University,Johns Hopkins University
98,KTH Royal Institute of Technology,KTH Royal Institute of Technology
71,KU Leuven,KU Leuven
22,King's College London,King’s College London
40,KAIST - Korea Advanced Institute of Science & Technology,Korea Advanced Institute of Science and Technology (KAIST)
35,Kyoto University,Kyoto University
134,Lancaster University,Lancaster University
110,Leiden University,Leiden University
94,Lomonosov Moscow State University,Lomonosov Moscow State University
34,London School of Economics and Political Science (LSE),London School of Economics and Political Science
77,Lund University,Lund University
198,Maastricht University,Maastricht University
0,Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology
31,McGill University,McGill University
139,McMaster University,McMaster University
148,Michigan State University,Michigan State University
59,Monash University,Monash University
114,Nanjing University,Nanjing University
10,"Nanyang Technological University, Singapore (NTU)","Nanyang Technological University, Singapore"
76,National Taiwan University (NTU),National Taiwan University
14,National University of Singapore (NUS),National University of Singapore
51,New York University (NYU),New York University
161,Newcastle University,Newcastle University
27,Northwestern University,Northwestern University
85,Ohio State University,Ohio State University
38,Peking University,Peking University
93,Pennsylvania State University,Pennsylvania State University
70,Pohang University of Science And Technology (POSTECH),Pohang University of Science and Technology
12,Princeton University,Princeton University
104,Purdue University,Purdue University
126,Queen Mary University of London,Queen Mary University of London
140,RWTH Aachen University,RWTH Aachen University
88,Rice University,Rice University
192,Scuola Normale Superiore di Pisa,Scuola Normale Superiore di Pisa
36,Seoul National University,Seoul National University
61,Shanghai Jiao Tong University,Shanghai Jiao Tong University
1,Stanford University,Stanford University
195,Stockholm University,Stockholm University
107,Sungkyunkwan University (SKKU),Sungkyunkwan University (SKKU)
115,Technical University of Denmark,Technical University of Denmark
63,Technical University of Munich,Technical University of Munich
194,Texas A&M University,Texas A&M University
167,University College Dublin,Trinity College Dublin
24,Tsinghua University,Tsinghua University
158,University of Aberdeen,University of Aberdeen
108,University of Adelaide,University of Adelaide
90,University of Alberta,University of Alberta
57,University of Amsterdam,University of Amsterdam
81,University of Auckland,University of Auckland
149,University of Basel,University of Basel
166,University of Bern,University of Bern
84,University of Birmingham,University of Birmingham
43,University of Bristol,University of Bristol
50,University of British Columbia,University of British Columbia
26,"University of California, Berkeley (UCB)","University of California, Berkeley"
117,"University of California, Davis","University of California, Davis"
164,"University of California, Irvine","University of California, Irvine"
32,"University of California, Los Angeles (UCLA)","University of California, Los Angeles"
37,"University of California, San Diego (UCSD)","University of California, San Diego"
133,"University of California, Santa Barbara (UCSB)","University of California, Santa Barbara"
4,University of Cambridge,University of Cambridge
190,University of Cape Town,University of Cape Town
8,University of Chicago,University of Chicago
183,University of Colorado Boulder,University of Colorado Boulder
73,University of Copenhagen,University of Copenhagen
23,University of Edinburgh,University of Edinburgh
157,University of Exeter,University of Exeter
