"Id","Kanton","Unemployment Rate"
"AG","Aargau",2.9
"AR","Appenzell Ausserrhoden",1.7
"AI","Appenzell Innerrhoden",0.7
"BL","Basel-Landschaft",2.8
"BS","Basel-Stadt",3.5
"BE","Bern",2.4
"FR","Freiburg",2.7
"GE","Genf",5.2
"GL","Glarus",1.8
"GR","Graubünden",1.1
"JU","Jura",4.4
"LU","Luzern",1.7
"NE","Neuenburg",5.1
"NW","Nidwalden",1
"OW","Obwalden",0.7
"SH","Schaffhausen",3
"SZ","Schwyz",1.7
"SO","Solothurn",2.6
"SG","St. Gallen",2.2
"TI","Tessin",3.1
"TG","Thurgau",2
"UR","Uri",0.6
"VD","Waadt",4.3
"VS","Wallis",2.8
"ZG","Zug",2.3
"ZH","Zürich",3.3
"CH","Gesamt",3
